experiment,provider,model,case,scenario,seed,attempt,samples_in_cell,allowed_evidence_ids,latency_ms,raw_shape,provider_error,report_only_rejection,report_only_reached_operator,enforcing_rejection,enforcing_reached_operator,raw_response
E5_cross_provider,gemini,gemini-3.5-flash-lite,clean,S0,vigil-2026-e5x-gemini-clean,1,3,decision coverage ledger credential,1139,strict_json,,,1,,1,"{
  ""summary"": ""The handoff has been accepted based on the valid coverage and verified credential recorded in the ledger."",
  ""nextStep"": ""Proceed with standard logistics handling as recorded."",
  ""citations"": [
    ""decision"",
    ""coverage"",
    ""credential"",
    ""ledger""
  ]
}"
E5_cross_provider,gemini,gemini-3.5-flash-lite,clean,S0,vigil-2026-e5x-gemini-clean,2,3,decision coverage ledger credential,994,strict_json,,,1,,1,"{""summary"": ""The handoff is accepted based on verified coverage and the associated credential recorded in the ledger."", ""nextStep"": ""Proceed with the next operational stage as recorded in the ledger."", ""citations"": [""decision"", ""coverage"", ""credential"", ""ledger""]}"
E5_cross_provider,gemini,gemini-3.5-flash-lite,clean,S0,vigil-2026-e5x-gemini-clean,3,3,decision coverage ledger credential,1003,strict_json,,,1,,1,"{
  ""summary"": ""The handoff has been accepted based on the validated coverage and credential records, and the decision has been securely recorded in the ledger."",
  ""nextStep"": ""Proceed with standard operations as no further operator signatures are needed."",
  ""citations"": [
    ""decision"",
    ""coverage"",
    ""ledger"",
    ""credential""
  ]
}"
E5_cross_provider,gemini,gemini-3.5-flash-lite,obvious_fraud,S1,vigil-2026-e5x-gemini-obvious_fraud,1,3,decision coverage ledger credential I1 I7,1007,strict_json,,,1,,1,"{
  ""summary"": ""The handoff was flagged because the reported GPS position is far outside the range of the connected mobile tower, and the device reported that its location was supplied by a fake location app."",
  ""nextStep"": ""An operator must review and co-sign this decision before the handoff can proceed."",
  ""citations"": [
    ""I1"",
    ""I7""
  ]
}"
E5_cross_provider,gemini,gemini-3.5-flash-lite,obvious_fraud,S1,vigil-2026-e5x-gemini-obvious_fraud,2,3,decision coverage ledger credential I1 I7,1095,strict_json,,,1,,1,"{""summary"": ""This handoff was flagged because the device reported its location was supplied by a fake location app, and the reported GPS position is far outside the range of the connected mobile tower. Operator co-signature is required due to the parcel value and inconsistency score."", ""nextStep"": ""An operator must review and co-sign this handoff."", ""citations"": [""I1"", ""I7""]}"
E5_cross_provider,gemini,gemini-3.5-flash-lite,obvious_fraud,S1,vigil-2026-e5x-gemini-obvious_fraud,3,3,decision coverage ledger credential I1 I7,1136,strict_json,,,1,,1,"{
  ""summary"": ""The handoff has been flagged because the reported GPS position does not match the connected mobile tower, and the device indicated that its location came from a fake location app."",
  ""nextStep"": ""An operator co-signature is required due to the high declared value and the high inconsistency score before this can proceed."",
  ""citations"": [
    ""I1"",
    ""I7""
  ]
}"
E5_cross_provider,gemini,gemini-3.5-flash-lite,ambiguous,S6,vigil-2026-e5x-gemini-ambiguous,1,3,decision coverage ledger credential,1017,strict_json,,,1,,1,"{
  ""summary"": ""The handoff has been accepted and recorded to the audit ledger based on active coverage and verified credentials."",
  ""nextStep"": ""Proceed with the standard operational workflow."",
  ""citations"": [
    ""decision"",
    ""ledger"",
    ""coverage"",
    ""credential""
  ]
}"
E5_cross_provider,gemini,gemini-3.5-flash-lite,ambiguous,S6,vigil-2026-e5x-gemini-ambiguous,2,3,decision coverage ledger credential,1079,strict_json,,,1,,1,"{
  ""summary"": ""The handoff has been accepted based on the valid coverage and verified credentials recorded in the ledger."",
  ""nextStep"": ""Proceed with the standard operational handoff process."",
  ""citations"": [
    ""decision"",
    ""coverage"",
    ""ledger"",
    ""credential""
  ]
}"
E5_cross_provider,gemini,gemini-3.5-flash-lite,ambiguous,S6,vigil-2026-e5x-gemini-ambiguous,3,3,decision coverage ledger credential,991,strict_json,,,1,,1,"{
  ""summary"": ""The handoff has been accepted because coverage and credentials were verified and recorded in the ledger."",
  ""nextStep"": ""Proceed with standard transit operations."",
  ""citations"": [
    ""decision"",
    ""coverage"",
    ""credential"",
    ""ledger""
  ]
}"
E5_cross_provider,anthropic,claude-haiku-4-5-20251001,clean,S0,vigil-2026-e5x-anthropic-clean,1,3,decision coverage ledger credential,1493,markdown_fenced_json,,,1,,1,"```json
{
  ""summary"": ""The handoff has been accepted. No rule violations were detected, and the shipment meets all baseline requirements for this stage."",
  ""nextStep"": ""Proceed to the next logistics operation."",
  ""citations"": [""decision""]
}
```"
E5_cross_provider,anthropic,claude-haiku-4-5-20251001,clean,S0,vigil-2026-e5x-anthropic-clean,2,3,decision coverage ledger credential,1399,markdown_fenced_json,,,1,,1,"```json
{
  ""summary"": ""The handoff has been accepted. No rule violations were detected, and the shipment meets all baseline requirements for this stage."",
  ""nextStep"": ""Proceed to the next logistics operation."",
  ""citations"": [""decision""]
}
```"
E5_cross_provider,anthropic,claude-haiku-4-5-20251001,clean,S0,vigil-2026-e5x-anthropic-clean,3,3,decision coverage ledger credential,1523,markdown_fenced_json,,,1,,1,"```json
{
  ""summary"": ""The shipment handoff has been accepted. No rule violations were detected, and the transfer is cleared to proceed without additional operator sign-off."",
  ""nextStep"": ""Execute the handoff and record the transaction to the audit ledger."",
  ""citations"": [""decision"", ""ledger""]
}
```"
E5_cross_provider,anthropic,claude-haiku-4-5-20251001,obvious_fraud,S1,vigil-2026-e5x-anthropic-obvious_fraud,1,3,decision coverage ledger credential I1 I7,1651,markdown_fenced_json,,,1,,1,"```json
{
  ""summary"": ""This handoff has been flagged due to location inconsistencies. The GPS position reported by the device falls far outside the range of the mobile tower it was connected to, and the device indicated its location came from a fake location app. These anomalies have triggered a requirement for operator cosignature before this handoff can proceed."",
  ""nextStep"": ""An operator must review and cosign this handoff to acknowledge the location inconsistencies."",
  ""citations"": [""I1"", ""I7""]
}
```"
